Title,Director,Country,Genre,Cast
The Doom Generation,Gregg Araki,United States,"Comedy , crime , drama","James Duval , Rose McGowan , Johnathon Schaech , Dustin Nguyen , Margaret Cho , Parker Posey , Lauren Tewes , Christopher Knight , Nicky Katt , Amanda Bearse , Cress Williams , Perry Farrell , Heidi Fleiss , Khristofor Rossianov and ( Band ) Skinny Puppy"
Flirt,Hal Hartley,United States Germany Japan,Drama,"Martin Donovan , Dwight Ewell , Geno Lechner , Parker Posey , Bill Sage , Miho Nikaido , Hal Hartley , Toshizo Fujiwara , Peter Fitz , Chikako Hara , Liana Pai , Harold Perrineau , Jr. , Maria Schrader , José Zuñiga and Hannah Sullivan"
French Twist,Josiane Balasko,France,Comedy,"Victoria Abril , Josiane Balasko , Alain Chabat , Ticky Holgado , Catherine Hiegel , Michèle Bernier , Catherine Samie , Katrine Boorman , Miguel Bosé and Blanca Li"
Frisk,Todd Verow,United States,Drama,"Michael Gunther , Craig Chester , Michael Stock , Raoul O'Connell , Jaie Laplante , Parker Posey , James Lyons , Alexis Arquette , Michael Waite , Alyssa Wendt , Mark Ewert , Dustin Schell , Michael Wilson , Paul B. Riley and Donald Mosner"
Gonin,Takashi Ishii,Japan,"Crime , drama","Kōichi Satō , Masahiro Motoki , Jinpachi Nezu , Kippei Shiina , Naoto Takenaka , Megumi Yokoyama , Eiko Nagashima , Maiko Kawakami , Hideo Murota , Kazuya Kimura , Shingo Tsurumi , Toshiyuki Nagashima and Takeshi Kitano"
Headless Body in Topless Bar,James Bruce,United States,"Black comedy , psychological horror",Raymond J. Barry
Home for the Holidays,Jodie Foster,United States,"Comedy , drama","Holly Hunter , Robert Downey Jr. , Anne Bancroft"
Hotel y domicilio,Ernesto Del Río,Spain,"Drama , thriller","Jorge Sanz , Santiago Ramos , Enrique San Francisco , Anabel Alonso , Ramón Barea , Joseba Apaolaza , José Manuel Cervino , Ramón Agirre , Jox Berasategui ( credited as Jose Mª Berasategi ) , Ion Gabella , Saturnino García , Maite Díaz , Txema Blasco , Luis Marías and Ricardo Franco"
The Incredibly True Adventure of Two Girls in Love,Maria Maggenti,United States,"Romance , comedy , drama","Laurel Holloman , Nicole Ari Parker , Maggie Moore , Kate Stafford , Sabrina Artel , Nelson Rodríguez , Dale Dickey , Katlin Tyler , Anna Padgett , Chelsea Cattouse , John Elsen , Stephanie Berry , Toby Poser , Andrew Wright , Babs Davy , Lillian Kiesler and Maryette Charlton"
Jeffrey,Christopher Ashley,United States,"Comedy , drama","Steven Weber , Michael T. Weiss , Patrick Stewart , Bryan Batt , Christine Baranski , Victor Garber , Camryn Manheim , Sigourney Weaver , Kathy Najimy , Ethan Phillips , Debra Monk , Peter Maloney , Michele Pawk , Nathan Lane , Olympia Dukakis , Gregory Jbara and Kevin Nealon"
