Site,Date ( s ),Designated,Location,Description
Holy Trinity Anglican Cathedral,1804 ( completed ),1989,Quebec City 46°48′46.08″N 71°12′23.76″W / 46.8128000°N 71.2066000°W / 46.8128000 ; -71.2066000 ( Holy Trinity Anglican Cathedral ),"A simple Palladian -style church , the construction of which introduced British classicism to Quebec City ; the first purpose-built Anglican cathedral outside the British Isles"
Hôpital-Général de Québec Cemetery,1755 ( established ),1999,Notre-Dame-des-Anges 46°48′52.04″N 71°13′54.18″W / 46.8144556°N 71.2317167°W / 46.8144556 ; -71.2317167 ( Hôpital-Général de Québec Cemetery ),"The small central part of the hospital cemetery , containing the graves of over 1000 French , British and aboriginal soldiers , many of whom died in the battles of the Plains of Abraham and Sainte-Foy , the two decisive battles between France and England for colonial supremacy of North America"
Hôtel-Dieu de Québec,1637 ( established ),1936,Quebec City 46°48′54.76″N 71°12′38.26″W / 46.8152111°N 71.2106278°W / 46.8152111 ; -71.2106278 ( Hôtel-Dieu de Québec ),The first permanent hospital established in North America north of Mexico
La Fabrique,1871 ( completed ),2011,Quebec City 46°48′45″N 71°13′34″W / 46.81250°N 71.22611°W / 46.81250 ; -71.22611 ( La Fabrique ),The former Dominion Corset Manufacturing building ; representative of female industrial workers in Canada 's textile industries
Loyola House / National School Building,1823 ( completed ),1989,Quebec City 46°48′44.97″N 71°12′44.61″W / 46.8124917°N 71.2123917°W / 46.8124917 ; -71.2123917 ( Loyola House / National School Building ),"The oldest known Gothic Revival -style public building in Canada ; erected in order to educate orphans , following the model of the National Society for Promoting Religious Education , the building housed a number of educational and charitable works ; it was renamed Loyola House when it came to be owned by the Jesuits in 1904"
Maillou House,"1737 ( first storey completed ) , 1767 ( second storey added )",1958,Quebec City 46°48′42.62″N 71°12′23.18″W / 46.8118389°N 71.2064389°W / 46.8118389 ; -71.2064389 ( Maillou House ),A two-storey stone house that served as the residence of a number of notable figures of the French Regime and British colonial administration ; served as the meeting place for the military council that governed Quebec from 1760 to 1764 and ultimately became the headquarters of the local militia
Manège militaire Voltigeurs de Québec,1887 ( completed ),1986,Quebec City 46°48′22.68″N 71°12′50.4″W / 46.8063000°N 71.214000°W / 46.8063000 ; -71.214000 ( Manège militaire Voltigeurs de Québec ),"Designed by Quebec architect Eugène-Étienne Taché , it was the precursor of the Chateau -style in Canadian architecture ; unique among armouries in Canada due to its design , it was heavily damaged by fire in 2008"
Montmorency Park,1908 ( park established ),1966,Quebec City 46°48′49.05″N 71°12′14.64″W / 46.8136250°N 71.2040667°W / 46.8136250 ; -71.2040667 ( Montmorency Park ),"An urban park that forms part of the Fortifications of Quebec NHSC ; a former building on the site housed the Parliament of the Province of Canada at various times between 1841 and 1866 , and briefly accommodated the Legislative Assembly of Quebec"
Morrin College / Former Quebec Prison,1814 ( completed ),1981,Quebec City 46°48′45.74″N 71°12′37.77″W / 46.8127056°N 71.2104917°W / 46.8127056 ; -71.2104917 ( Morrin College / Former Quebec Prison ),"A four-storey Palladian -style stone prison , converted to a college and home of the Literary and Historical Society of Quebec in the 19th century ; the first prison in Canada to reflect the ideas of British reformer John Howard"
Mount Hermon Cemetery,1848 ( established ),2007,Quebec City 46°46′42.64″N 71°14′47.65″W / 46.7785111°N 71.2465694°W / 46.7785111 ; -71.2465694 ( Mount Hermon Cemetery ),"The first rural cemetery in Canada , established in Sillery , near Quebec City , created due to overcrowding at the old Protestant burying ground in the city ; the funerary monuments and significance of many of the persons buried in the cemetery commemorate many aspects of the history of Quebec City , Quebec and Canada"
