,Landmark name,Date designated,Location,County,Description
11,Fort Huachuca,"May 11 , 1976 ( # 74000443 )",Sierra Vista 31°33′19″N 110°20′59″W / 31.555278°N 110.349722°W / 31.555278 ; -110.349722 ( Fort Huachuca ),Cochise,Commemorates Buffalo Soldiers
12,Gatlin Site,"July 19 , 1964 ( # 66000183 )",Gila Bend 32°58′51″N 112°42′06″W / 32.980935°N 112.701612°W / 32.980935 ; -112.701612 ( Gatlin Site ),Maricopa,"Preserves a Hohokam platform mound , pit houses , ball courts , middens , and prehistoric canals"
13,Grand Canyon Depot,"May 28 , 1987 ( # 74000337 )",Grand Canyon Village 36°03′15″N 112°08′11″W / 36.054295°N 112.136346°W / 36.054295 ; -112.136346 ( Grand Canyon Depot ),Coconino,"Railway station constructed in 1909-10 for the Atchison , Topeka and Santa Fe Railroad"
14,Grand Canyon Lodge,"May 28 , 1987 ( # 82001721 )","North Rim , Grand Canyon National Park 36°11′57″N 112°03′07″W / 36.199167°N 112.051944°W / 36.199167 ; -112.051944 ( Grand Canyon Lodge )",Coconino,"Lodge at Bright Angel Point , on North Rim of Grand Canyon"
15,Grand Canyon Park Operations Building,"May 28 , 1987 ( # 87001412 )",Grand Canyon Village 36°03′12″N 112°08′13″W / 36.053226°N 112.136908°W / 36.053226 ; -112.136908 ( Grand Canyon Park Operations Building ),Coconino,National Park Service building ; built in 1929 ; designed to blend with the natural surroundings
16,Grand Canyon Power House,"May 28 , 1987 ( # 87001411 )",Grand Canyon Village 36°03′14″N 112°08′24″W / 36.053873°N 112.139970°W / 36.053873 ; -112.139970 ( Grand Canyon Power House ),Coconino,"Rustic building designed to conceal the purpose of the building , which was to provide power to the railroad"
17,Grand Canyon Village,"February 18 , 1987 ( # 75000343 )",Grand Canyon Village 36°03′20″N 112°08′18″W / 36.055556°N 112.138333°W / 36.055556 ; -112.138333 ( Grand Canyon Village ),Coconino,Planned town significant for its urban planning and ecological sensitivity
18,Hoover Dam,"August 20 , 1985 ( # 81000382 )",Lake Mead National Recreation Area 36°00′56″N 114°44′16″W / 36.015556°N 114.737778°W / 36.015556 ; -114.737778 ( Hoover Dam ),"Mohave , AZ and Clark , NV","Historic dam , power plant and water-storage facility"
19,Hubbell Trading Post,"December 12 , 1960 ( # 66000167 )",Ganado 35°43′32″N 109°35′36″W / 35.725556°N 109.59333°W / 35.725556 ; -109.59333 ( Hubbell Trading Post ),Apache,"Meeting ground of two cultures , the Navajo and the settlers"
20,Jerome Historic District,"November 13 , 1966 ( # 66000196 )",Jerome 34°45′13″N 112°06′41″W / 34.753611°N 112.111389°W / 34.753611 ; -112.111389 ( Jerome Historic District ),Yavapai,Copper mining town
