Year,Actor,Title ( role ),Nominees
2005,Cavin Soh 苏梽诚,Portrait of Home 同心圆 ( Zhou Daqiu 周大丘 ),Darren Lim 林明伦 - A New Life 有福 ( Lin Laifa 林来发 ) Andrew Seow 萧乙铭 - A New Life 有福 ( Zhang Hongyun 张鸿运 ) Alan Tern 唐育书 - Double Happiness II 喜临门II ( Lin Wenjie 林文杰 / Lin Wenxiong 林文雄 ) Yao Wenlong 姚彣隆 - My Mighty-in-Laws 野蛮亲家 ( 911 )
2006,Huang Yiliang 黄奕良,Women of Times 至尊红颜 ( Kuang Qicai 邝奇才 ),Adam Chen 詹金泉 - The Shining Star 星闪闪 ( Ah B 阿B ) Shaun Chen 陈泓宇 - C.I.D . 刑警2人组 ( Lin Chenghui 林成辉 ) Rayson Tan 陈泰铭 - The Undisclosed 迷云二十天 ( Chong ) Zheng Geping 郑各评 - The Shining Star 星闪闪 ( Huang Feilong 黄飞龙 )
2007,Darren Lim 林明伦,Kinship 手足 ( Xu Naifa 徐乃发 ),"Nick Shen 沈炜竣 - Like Father , Like Daughter 宝贝父女兵 ( Gui 阿贵 ) Cavin Soh 苏梽诚 - Mars vs Venus 幸福双人床 ( Wu Guohan Hanns 吴国汉 ) Brandon Wong 黄炯耀 - The Homecoming 十三鞭 ( Lai Guoqiang 赖国强 ) Yao Wenlong 姚彣隆 - Happily Ever After 凡间新仙人 ( Yang Jian 杨戬 )"
2009,Chew Chor Meng 周初明,The Golden Path 黄金路 ( Huang Kaida 黄凯达 ),Zen Chong 章证翔 - The Little Nyonya 小娘惹 ( Robert Zhang 罗伯张 ) Dai Xiangyu 戴向宇 - The Little Nyonya 小娘惹 ( Yamamoto Yousuke 山本洋介 ) Darren Lim 林明伦 - The Little Nyonya 小娘惹 ( Huang Jincheng 黄金成 ) Yao Wenlong 姚彣隆 - The Little Nyonya 小娘惹 ( Liu Yidao 刘一刀 ) Zhu Houren 朱厚任 - The Defining Moment 沸腾冰点 ( Tang Weiye 唐伟业 )
2010,Zhu Houren 朱厚任,Reunion Dinner 团圆饭 ( Liang Zhigao 梁志高 ),Darren Lim 林明伦 - My School Daze 书包太重 ( Tang Andi 唐安迪 ) Jerry Yeo 杨伟烈 - The Ultimatum 双子星 ( Ye Rende 叶仁德 ) Zhang Zhenhuan 张振寰 - Together 当我们同在一起 ( Yao Wuji 姚无忌 ) Zheng Geping 郑各评 - Together 当我们同在一起 ( Qin Xianglin 秦相林 )
2011,Terence Cao 曹国辉,The Best Things In Life 五福到 ( Song Daming 宋达明 ),Andie Chen 陈邦鋆 - Precious Babes 三个女人一个宝 ( Fu Weide 傅炜德 ) Zen Chong 章证翔 - Unriddle 最火搭档 ( Yu Zhenbang 余振邦 ) Darren Lim 林明伦 - Breakout 破天网 ( Wang Lianzhou 汪连州 ) Yao Wenlong 姚彣隆 - The Family Court 走进走出 ( Huang Guanying 黄冠英 )
2012,Chen Shucheng 陈澍城,The Oath 行医 ( Wu Zhixiong 吴志雄 ),Chen Hanwei 陈汉玮 - A Song to Remember 星洲之夜 ( Xu Kun 许昆 ) Cavin Soh 苏梽诚 - Love Thy Neighbour 四个门牌一个梦 ( Dai Deliang 戴德良 ) Rayson Tan 陈泰铭 - A Song to Remember 星洲之夜 ( Black Snake 黑蛇 ) Brandon Wong 黄炯耀 - Love Thy Neighbour 四个门牌一个梦 ( Shen Jindao 沈金道 )
2013,Tay Ping Hui 郑斌辉,Unriddle 2 最火搭档2 ( Zhang Yuze 张雨泽 ),Huang Wenyong 黄文永 - Joys of Life 花样人间 ( Han Jianren 韩健仁 ) Rayson Tan 陈泰铭 - It Takes Two 对对碰 ( Zhang Yang 张扬 ) Romeo Tan 陈罗密欧 - Joys of Life 花样人间 ( Qian Erduo 钱二多 ) Zhu Houren 朱厚任 - Pillow Talk 再见单人床 ( Zhang Qian 张谦 )
2014,Guo Liang 郭亮,The Dream Makers 志在四方 ( Yao Jianguo 姚建国 ),Shaun Chen 陈泓宇 - The Dream Makers 志在四方 ( Du Zhanpeng 杜展鹏 ) Dennis Chew 周崇庆 - The Dream Makers 志在四方 ( Fang Yuanren 方元仁 ) Jeffrey Xu 徐鸣杰 - Marry Me 我要嫁出去 ( Xu Xiaodong Dave 徐小东 ) Zhang Zhenhuan 张振寰 - Break Free 曙光 ( Ye Zhibin 叶志斌 )
2015,Chen Hanwei 陈汉玮,The Journey : Tumultuous Times 信约：动荡的年代 ( Hu Weiren 胡为人 ),Chen Shucheng 陈澍城 - Blessings 祖先保佑 ( Lian Mengyong 连梦勇 ) Aloysius Pang 冯伟衷 - Against the Tide 逆潮 ( Zhao Keji 赵克己 ) Zhang Zhenhuan 张振寰 - Against the Tide 逆潮 ( Zhuo Dingkang 卓定康 ) Zhu Houren 朱厚任 - In The Name Of Love 最爱是你 ( Wang Weiguo 王伟国 )
