Name,Location,Denomination/ Affiliation,Grade,Notes
Meeting Room,"Earlswood 51°13′41″N 0°10′24″W / 51.2280°N 0.1732°W / 51.2280 ; -0.1732 ( Meeting Room , Woodlands Road , Earlswood )",Plymouth Brethren,-,This meeting room on Woodlands Road is also linked to the main meeting hall at Whitmore Way in Horley
St Andrew 's Church,"Gatton 51°15′39″N 0°10′25″W / 51.2608°N 0.1736°W / 51.2608 ; -0.1736 ( St Andrew 's Church , Gatton )",Anglican,I,"The 13th-century church of the Gatton Park estate was rebuilt from its Perpendicular Gothic origins in the 18th century and again in 1834 , when Lord Monson commissioned E. Webb to redesign it as a picturesque Gothick composition . A covered path once ran from the north transept to the house . The tower rises in three stages and is very slim"
St Margaret 's Church,"Hooley 51°17′32″N 0°09′39″W / 51.2923°N 0.1608°W / 51.2923 ; -0.1608 ( St Margaret 's Church , Hooley )",Anglican,I,"Most parts of this large village church are 13th-century , and a blocked 12th-century window survives . The tower of 1631 straddles the crossing of the cruciform building , whose walls are of flint and stone . There is also some brickwork to the tower . Norman Shaw added the north aisle and some other parts in 1883 . Sir Edward Banks is commemorated by a monument inside"
St Bartholomew 's Church,"Horley 51°10′11″N 0°10′33″W / 51.1698°N 0.1758°W / 51.1698 ; -0.1758 ( St Bartholomew 's Church , Horley )",Anglican,I,"The church stands between the A23 Brighton Road and the River Mole and has 14th-century origins . Before the Reformation it was dedicated to St Mary the Virgin . The present appearance is attributable to Arthur Blomfield 's restoration ( called an obliteration by Ian Nairn ) in 1881 . The north doorway and north arcade retain their 14th-century appearances , though"
St Francis ' Church,"Horley 51°10′15″N 0°09′27″W / 51.1708°N 0.1576°W / 51.1708 ; -0.1576 ( St Francis ' Church , Horley )",Anglican,-,The church was built on the Balcombe Road in 1958 as a combined worship centre and hall . The church section of the simple .mw-parser-output span.smallcaps { font-variant : small-caps } .mw-parser-output span.smallcaps-smaller { font-size:85% } l -shaped building also has vestries to one side
St Wilfrid 's Church,"Horley 51°10′49″N 0°10′15″W / 51.1804°N 0.1707°W / 51.1804 ; -0.1707 ( St Wilfrid 's Church , Horley )",Anglican,-,"Constructed of concrete in 1970 using the portal framing technique , the l -shaped building has a church section and a hall section which link together . There is an entrance on the south side and vestries to the west"
Horley Baptist Church ( new building ),"Horley 51°10′31″N 0°10′26″W / 51.1753°N 0.1739°W / 51.1753 ; -0.1739 ( Horley Baptist Church , Horley )",Baptist,-,"Plans for the new church , replacing the smaller 1881 building , were revealed in 2012 . The church bought the former Court Lodge Primary School , demolished it and built a new church and care home in its place . Worship and activities took place in another building on the site and at Oakwood School while this happened in 2014-15 . The new two-storey church was designed by MEB Design Ltd , and building contractors Caldera Construction carried out the £1.75m building project . It was registered for marriages in November 2015"
Horley Methodist Church,"Horley 51°10′22″N 0°10′03″W / 51.1727°N 0.1675°W / 51.1727 ; -0.1675 ( Horley Methodist Church , Horley )",Methodist,-,"Horley 's first Methodist church belonged to the Primitive Methodists ; Wesleyans met in a room from 1909 then a hall from 1911 , and the Primitive Methodist congregation joined in the 1930s . Growth in the congregation by the late 1950s necessitated a new building - a cruciform structure which was opened on 11 June 1960"
Gatwick Islamic Centre,"Horley 51°10′24″N 0°09′41″W / 51.1732°N 0.1613°W / 51.1732 ; -0.1613 ( Gatwick Islamic Centre , Horley )",Muslim,-,"This mosque and community centre is operated by the Gatwick Bangladeshi Islamic Community Association . When it opened in September 2011 , it brought to an end a peripatetic 11-year period in which worshippers had used various rented halls and rooms in the town . The congregation is drawn from Horley and several neighbouring towns"
Southlands Christian Church,"Horley 51°10′23″N 0°09′42″W / 51.1731°N 0.1616°W / 51.1731 ; -0.1616 ( Southlands Christian Church , Horley )",Non-denominational,-,"Covenant Community Church International was founded in 2003 in Horley and took its present name the next year . The church occupied a building in nearby Salfords between 2007 and 2011 , but this was destroyed by fire and another former office building - this time on Horley High Street - is now used"
