,Name on the Register,Date listed,Location,City or town,Description
11,Johnson Bridge,"July 16 , 1982 ( # 82004302 )",Touchet North Rd ( spans Touchet River ) 46°07′22″N 118°38′57″W / 46.122778°N 118.649167°W / 46.122778 ; -118.649167 ( Johnson Bridge ),Lowden,"Designed by E.R . Smith and built by the Walla Walla County engineering department in 1929 , the bridge spans the Touchet River . Replaced by a new bridge in 2007"
12,Kirkman House,"December 27 , 1974 ( # 74001986 )",214 N Colville St. 46°04′13″N 118°20′23″W / 46.070278°N 118.339722°W / 46.070278 ; -118.339722 ( Kirkman House ),Walla Walla,"The oldest residence in Walla Walla , the brick Italianate Victorian style house was built by William Kirkman in 1880 , and was home to three generations of his descendants . Today it serves as the Kirkman House Museum and Textile Center"
13,Liberty Theater,"April 29 , 1993 ( # 93000358 )",50 E Main St. 46°04′03″N 118°20′15″W / 46.067467°N 118.337419°W / 46.067467 ; -118.337419 ( Liberty Theater ),Walla Walla,"An example of Craftsman and Moderne architecture , the building was designed by Osterman and Siebert , originally opening in 1917 as the American Theater . Now a Macy 's department store"
14,Lower Snake River Archaeological District,"October 29 , 1984 ( # 84000471 )",Address restricted,Burbank,
15,George Ludwigs House,"April 12 , 1982 ( # 82004303 )",125 Newell St. 46°03′50″N 118°19′55″W / 46.063889°N 118.331944°W / 46.063889 ; -118.331944 ( George Ludwigs House ),Walla Walla,"Local businessman George Ludwigs commissioned William Meyer in 1904 to design the house for the Luwigs family . The house , an example of Craftsman and Shingle Style architecture , is currently a private residence"
16,Marcus Whitman Hotel,"November 30 , 1999 ( # 99001461 )",107 N. Second Ave. 46°04′10″N 118°20′24″W / 46.069444°N 118.34°W / 46.069444 ; -118.34 ( Marcus Whitman Hotel ),Walla Walla,
17,"Memorial Building , Whitman College","December 3 , 1974 ( # 74001987 )","345 Boyer Ave. 46°04′16″N 118°19′42″W / 46.071111°N 118.328333°W / 46.071111 ; -118.328333 ( Memorial Building , Whitman College )",Walla Walla,
18,Miles C. Moore House,"November 13 , 1989 ( # 89001949 )",720 Bryant 46°03′22″N 118°19′04″W / 46.056111°N 118.317778°W / 46.056111 ; -118.317778 ( Miles C. Moore House ),Walla Walla,"Originally built in 1883 , the home of Territorial Governor Miles Moore and his family"
19,Northern Pacific Railway Passenger Depot,"December 6 , 1990 ( # 90001862 )",416 N. Second Ave. 46°04′15″N 118°20′30″W / 46.070833°N 118.341667°W / 46.070833 ; -118.341667 ( Northern Pacific Railway Passenger Depot ),Walla Walla,
20,Osterman House,"October 19 , 1983 ( # 83004274 )",508 Lincoln St. 46°03′57″N 118°19′31″W / 46.065833°N 118.325278°W / 46.065833 ; -118.325278 ( Osterman House ),Walla Walla,
