Name,Source,Uses
Bavarium,Just Cause 3,"Discovered by Medici 's tyrannical ruler Sebastiano Di Ravello in the late 1980s , Bavarium is referred to as a supermineral in reference to its near-infinite potential . Exclusive to Medici , Bavarium is at the core of much of the country 's experimental weaponry and equipment- which , as of the Bavarium Sea Heist DLC , includes gravitational manipulators and personal force fields -as well as a major export ; Di Ravello is able to use it as a bargaining chip when dealing with the Agency . In-game , Bavarium- in its refined form , at least -is shown to be highly volatile and prone to large , violent explosions- a small Bavarium-based charge is capable of instantly destroying all but the largest of the game 's Chaos Objects"
Bolognium / Bolonium,Various sources,"A metallic element with variable properties ; a substitute for any unspecified substance or element ; or in science fiction writing , a substance or process invented to circumvent explanation or impossibility . A humorous story from 1926 about the development of alloys for special purposes , describes Bolognium as a metallic element with properties similar to Gafnium , with which it forms alloys impervious to attacks by mice . Bolognium may also refer to any unspecified substance or element : if not oil then beryllium , and if not beryllium then bolognium , do n't worry about whether it is mercury or lead or cadmium or 'bolognium ' . Noted science fiction writer David Gerrold attributes the use of the term in science fiction writing to Larry Niven , the author of Ringworld , who used it to describe imaginary materials or processes capable of explaining properties unachievable through known or scientifically-postulated means . In Worlds of Wonder , Gerrold describes two examples from Ringworld : scrith , a substance strong enough to be used for the construction of a ring one hundred and eighty million miles in diameter , and a character deliberately bred for the property of luck . Gerrold refers to bolognium as technobabble , and cautions writers against overusing it , or using it carelessly , as doing so undermines the illusion of reality upon which good science fiction relies . The term itself has appeared in episodes of The Simpsons , in which Bolognium , atomic symbol Bo , appears in the place of Molybdenum , atomic number 42 , on promotional copies of the periodic table produced by Oscar Mayer ( its atomic weight is delicious or snacktacular ) , and in Futurama , where Cubert Farnsworth exclaims , your explanations are pure weapons-grade bolognium ! Although most references to Bolognium are intentionally humorous , in Star Trek : The Eugenics Wars , Greg Cox refers to the bolognium shielding of Klingon warp nacelles"
Bombastium,Disney,"Originally appearing in Uncle Scrooge # 17 ( 1957 ) by Carl Barks , Bombastium is stated to be the rarest element in the world . Even though it is very coveted , its usage potential is not entirely known . One characteristic is that it tastes different every time one tries it , and scientists eventually discovered that one atom of bombastium dropped into a barrel of water becomes one barrel of ice cream : a different flavor of ice cream each time . To avoid evaporation , bombastium must be kept frozen . In the story , when this totally new element was discovered Scrooge tries to secure the entire supply - a ball of Bombastium approximately the size of a large turnip . Terrified that his acquisition will melt before he can make a profit , Scrooge drags Donald Duck and his nephews on a voyage to the South Pole to safeguard his investment , but he has not reckoned on the ruthless determination of the Brutopian agents he outbid to achieve it . Bombastium represents a play on words ( bomb and bombastic ) that negotiates Cold War hysteria surrounding the arms race and the threat of Armageddon provoked by the development of the H-bomb . Barks 's tale is also grounded in fears . The substance is later used in the Duck Tales series"
Bureaucratium,Scientific in-joke,"Similar to Administratium and variation of the joke . In this version of the joke , Bureaucratium is an element which has a negative half-life , becoming more massive and sluggish as time goes by"
Byzanium,Raise the Titanic !,"Byzanium is a fictional element within the book Raise the Titanic ! and its film adaptation , which serves as a main focus of the story arc . It is a powerful radioactive material sought after by both the Americans and Russians for use as either an energy source for a missile defense system or an atomic superbomb . The largest known natural source of Byzanium was on the island of Novaya Zemlya , which was mined in the early 20th century and supposedly taken aboard the ill-fated RMS Titanic during her first and only voyage"
Carbonadium,Marvel Comics,"In the Marvel Comics universe , Carbonadium is a form of Adamantium that is developed the USSR and used by the villain Deadpool , whose katanas are made with the material , and Omega Red , whose retractable metal tentacles are composed of the radioactive metal alloy . Carbonadium is nearly as strong as Adamantium , but more flexible . It is also used in the armor suit of Moon Knight in the third series of that comic"
Cavorite,The First Men in the Moon,"In the H.G . Wells novel , a metal created by the physicist Cavor which has the property of blocking gravity waves . This makes his space vehicle selectively immune to the pull of gravity , allowing it to choose which heavenly bodies it may or may not fall towards via the opening or sliding of outer hull Cavorite windows or blinds . This steers , accelerates and decelerates the spacecraft , dependent on available gravitational forces , somewhat analogous to a tacking behavior of a sailed ship"
Celestial Bronze,"Greek Mythology , Rick Riordan books ( introduced in The Lightning Thief )","A magical form of bronze mined from Mount Olympus , tempered in Mount Etna , and cooled in the River Lethe . Can not come into physical contact with non-magical creatures . Lethal to monsters"
Chlorophyte,Terraria,"A bright-green metal found deep beneath the jungle , implied to be the toughest ore that can be mined from the ground ( only being topped by Luminite , a material dropped by the final boss ) . As the name suggests , Chlorophyte holds various plant-themed properties , and can be used to craft armor and weapons that harness the powers of plants . It can be combined with glowing mushrooms to create Shroomite , a blue fungi-themed version of the same metal used in ranged weapons and armor , or with ectoplasm to create Spectre Bars , a glowing ghost-themed metal used in various magical weapons and mage armor"
Cobalt Thorium G,"Dr. Strangelove , Big Guy and Rusty the Boy Robot","In Dr. Strangelove it is an element used in the Russians ' doomsday device . Both ( real ) elements Cobalt and Thorium can be used in atomic weapons to increase the amount of dangerous nuclear fallout , which agrees with the sense in which Cobalt Thorium G is used in the movie . In the Wages of Fire episode of Big Guy and Rusty the Boy Robot , it is revealed that the BGY-11 is powered by a Cobalt Thorium G power core"
