Name,Date,Remarks,Location
"Tamashiki Shrine Kagura ( 玉敷神社神楽 , tamashiki jinja kagura )",,,"Kisai , Saitama"
Washinomiya Saibara Kagura ( 鷲宮催馬楽神楽 ),,,"Washimiya , Saitama"
Edo no Sato Kagura ( 江戸の里神楽 ) or haji kagura,Various times throughout the year,"Theatrical mime performed by shrines around Tokyo consisting of four groups : Wakayama shachū ( Taitō ) , Mamiya shachū ( Shinagawa ) , Matsumoto shachū ( Arakawa ) , Yamamoto shachū ( Inagi ) . The tradition is derived from Washi no Miya Kagura of Saitama and was introduced during the Enpō era . It received a revamping during the Meiji period resulting in a mix of classical ( koten ) kagura relating ancient myths , modern ( kindai ) kagura portraying medieval stories ( e.g . Rashōmon ) , otogi kagura of modern legends ( e.g . Momotarō ) , nō and kyōgen kagura",Tokyo
"Chigo no Mai of Kawaguchi ( 河口の稚児の舞 , Kawaguchi no chigo no mai )",April 25 ( Magomi Festival ( 孫見祭 ) ) and July 28 ( Daidai Festival ( 太々御神楽祭 ) ),"Dance of about 10 young girls accompanied by drums , hourglass-shaped drums , and flutes considered as a type of daidai kagura . The dance has been designated under criteria 2 , 3","Kawaguchi Asama Shrine , Fujikawaguchiko , Yamanashi"
"Tōyama Shimotsuki Matsuri ( 遠山の霜月祭 , tōyama no shimotsuki matsuri )",December 1 -23,A form of yudate kagura consisting of various dances and dramas,"Iida , Nagano"
Tenryū Shimotsuki Kagura ( 天竜村の霜月神楽 ),,,"Tenryū , Nagano"
Hana Matsuri ( 花祭 ),,,"Kitashitara District , Aichi"
Ise Daikagura ( 伊勢太神楽 ),December 24,A tradition of predominantly lion dances with some theatrical pieces and acrobatics added . They are used as purification ritual and to pacify spirits,"Kuwana , Mie"
"Okashira Shinji ( 御頭神事 , lit . ritual of the ( lions ' ) heads )",February,"Lion dance of a male and female lion by two men bearing torches , originally performed as purification ritual to cure the villagers of disease","Ise , Mie"
"Ama Fūryū Odori and Kōdori dances ( 阿万の風流大踊小踊 , ama no fūryū odori kōdori )",Sunday nearest to September 15,"Two types of dances : odori danced in two rows employing fans to the accompaniment of song , hyoshigi , and shimedaiko , with lyrics originating in the Muromachi and early Edo period ; kōdori danced in a single row by about 8 dancers with lyrics after the Genroku era and with a lighter tone . Originally a prayer for rain , the dances are now performed as part of the shrine 's autumn festival . The dance has been designated under criteria 2 , 3","Kameoka Hachiman Shrine , Minamiawaji , Hyōgo"
