Year,Winner ( s ),Work,Nominees
2010,"Juan Luis Guerra · produced by Allan Leschhorn · engineered/mixed by David Channing , Rafael Lazzaro , Allan Leschhorn , Luis Mansilla , Janina Rosado , Allen Sides and Ronnie Torres · mastered by Adam Ayan",A Son de Guerra,"Bebe - Y . ( Carlos Jean , producer ; José Luis Crespo , Raúl Quilez , engineers/mixers ; Ian Cooper , mastering engineer ) Miguel Bosé - Cardio ( Bosé , Nicolas Sorín , producers ; Andy Bradfield , Pepo Scherman , engineers/mixers ; Claudio Guissani , mastering engineer ) Camila - Dejarte de Amar ( Mario Domm , Pablo Hurtado , producers ; Gabriel Castañón , Domm , Benny Faccone , Peter Mokran , engineers/mixers ; Bernie Grundman , mastering engineer ) Alejandro Sanz - Paraíso Express ( Tommy Torres , producer ; Bob Clearmountain , Steve Churchyard , Mike Couzzi , Lee Levin , Andrés Saavedra , Dan Warner , Torres , engineers/mixers ; Ted Jensen , mastering engineer )"
2011,"Calle 13 · produced by Edgar Abraham and Rafael Arcaute · engineered/mixed by Felipe Álvarez , John Blais , Eduardo Cabra , David Cárdenas , Ivan Gutierrez , Lee Levin , José Martínez , Ramón Martinez , Edgardo Matta , Daniel Ovie , Carlos Velazquez , Charles Wakeman and Dan Warner · mastered by James Cruz",Entren Los Que Quieran,"Alex , Jorge y Lena - Alex , Jorge y Lena ( Aureo Baqueiro , producer ; Nick Baxter , Gustavo Borner , engineers/mixers ; Tom Baker , mastering engineer ) Franco De Vita - En Primera Fila ( David Cabrera , Franco De Vita , producers ; Juan Pablo Falluca , Sebastian Krys , engineers/mixers ; Mike Couzzi , mastering engineer ) Enrique Iglesias - Euphoria ( Fernando Garibay , Nesty , Carlos Paucar , RedOne , Mark Taylor , Victor El Nasi , producers ; Kiko Hurtado , Nesty , Rob Orton , Paucar , RedOne , Phil Tann , engineers/mixers ; Brian Gardner , mastering engineer ) Shakira - Sale el Sol ( Josh Abraham , Lukas Burton , Calle 13 , Gustavo Cerati , El Cata , John Hill , Lester Méndez , Albert Menéndez , Luis Fernando Ochoa , Oligee , Shakira , producers ; Eduardo Bergallo , Michael Brauer , Gustavo Celis , Dave Clauss , Alex Leader , Lester Méndez , Mark Needham , Joel Numa , Andros Rodriguez , Jonathan Shakhovskoy , Ed Williams , engineers/mixers ; Stephen Marcussen , mastering engineer )"
2012,Juanes · produced by Juan Luis Guerra · engineered/mixed by Gustavo Borner · mastered by Gustavo Borner,Juanes MTV Unplugged,"Ricardo Arjona - Independiente ( Ricardo Arjona , Carlos Cabral Junior , Lee Levin & Dan Warner , producers ; Carlos Cabral Junior , Julio Chávez , Isaías García , Brian Lang , Lee Levin , Matt Rollings , Jerald Romero , Dan Rudin , David Thoener , Tommy Torres , Peter Wallace , Dan Warner & Ben Wisch , engineers/mixers ; Tom Coyne , mastering engineer ) Bebe - Un Pokito de Rocanrol ( Renaud Letang , producer ; Renaud Letang & Thomas Moulin , engineers/mixers ; Mandy Parnell , mastering engineer ) Chico Buarque - Chico ( Vinicius França & Luiz Claudio Ramos , producers ; Fernando Prado , engineer/mixer ; Luiz Tornaghi , mastering engineer ) ChocQuibTown - Eso Es Lo Que Hay ( Andrés Castro & ChocQuibTown , producers ; Edgar Barrera , Carlos El Loco Bedolla , Scott Canto , Andrés Castro , Francisco Kiko Castro , Javier Garza , Tony Mardini , Guillermo Martínez , Ramón Martínez , Andrés Saavedra & Carlos Velásquez , engineers/mixers ; Tony Coyne , mastering engineer ) Jesse & Joy - ¿Con Quién Se Queda El Perro ? ( Martin Terefe , producer ; Ainsley Adams , Dyre Gormsen & Thomas Juth , engineers/mixers ; Geoff Pesche , mastering engineer ) Carla Morrison - Déjenme Llorar ( Andres Landon , Carla Morrison & Juan Manuel Torreblanca , producers ; Alejandro Jiménez & Arturo Turo Medina , engineers/mixers ; Tom Coyne , mastering engineer ) Reik - Peligro ( Kiko Cibrian , Ettore Grenci , Cachorro López & Sebastian Schon , producers ; Mike Harris , Arturo León , Demian Nava , Sebastian Schon , Fabrizio Simoncioni & Cesar Sogbe , engineers/mixers ; Chris Gehringer , mastering engineer ) Arturo Sandoval - Dear Diz ( Every Day I Think of You ) ( Gregg Field & Arturo Sandoval , producers ; Gregg Field & Don Murray , engineers/mixers ; Paul Blakemore , mastering engineer ) Caetano Veloso , Gilberto Gil and Ivete Sangalo - Especial Ivete , Gil E Caetano ( Rafael Dragaud & Roberto Talma , producers ; Vitor Farias , engineer/mixer ; Carlos Freitas , mastering engineer )"
2013,"Draco Rosa · produced by George Noriega & Draco Rosa · engineered/mixed by Seth Atkins Horan , Dave Clauss , Nelson Gazu Jaime , Allan Leschhorn , Fernando Quintana , Fabián Serrano , Sadaharu Yagi & Benny Faccone · mastered by Bob Ludwig",Vida,"Pablo Alborán - Tanto ( Manuel Illán , album producer ; Bori Alarcón , album recording engineer ; Javier García , album mixer ; Bori Alarcón & Javier García , album mastering engineers ) Bajofondo - Presente ( Juan Campodónico & Gustavo Santaolalla , album producers ; Julio Berta , Juan Campodónico , Joe Chiccarelli , Jorge da Silva & Anibal Kerpel , album recording engineers ; Gustavo Santaolalla , album mixer ; Tom Baker , album mastering engineer ) Miguel Bosé - Papitwo ( Miguel Bosé , Count De Money , José Luis De La Peña , Carlos Jean , Andrés Levin , Fernando Ortí , Roberto Rodríguez , Janina Rosado , Nicolás Sorín & Martin Terefe , producers ; Pepo Sherman , album recording engineer ; Ray Aldaco , Andy Bradfield , Michele Canova Iorfida , Johnny Doran , Carlos Jean , Sam Keyte , Allan Leschhorn , Roberto Rodíguez , Janina Rosado , Andres Saavedra , Ricardo Sanz , Lauren Serrano , Baeho Shinen , Nicolás Sorín , Aleks Syntek , Nikolaj Torp & Alex Wong , album mixers ; Antonio Baglio , album mastering engineer ) Andrés Cepeda - Lo Mejor Que Hay En Mi Vida ( José Gaviria , Bernardo Ossa , Fernado Toby Tobón & Carlos Villavicencio , album producers ; Mauricio Cano , José Gaviria , Lee Levin , Gian Marco , Bernardo Ossa , Mauricio Pantoja , Facundo Rodríguez & Fernando Toby Tobón , album recording engineers ; Francisco 'Kiko ' Castro , Iker Gastamiza & Boris Milán , album mixers ; Mike Couzzi , album mastering engineer ) Natalie Cole - Natalie Cole en Español ( David Foster , Humberto Gatica , Juan Luis Guerra & Rudy Pérez , album producers ; Andrés Bermúdez & Bruce Sweeden , album recording engineers ; Vlado Meller , album mastering engineer ) Guaco - Escultura ( Gustavo Aguado & Juan Carlos Salas , album producers ; Juan Carlos Salas , album mixer ; Erik Aldrey , album mastering engineer ) Gian Marco - Versiones ( Gary Grant & Arturo Sandoval , album producers ; Steve Genewick , José Hernández & David Santos , album recording engineers ; Dustin Higgins , album mixer ; Doug Sax , album mastering engineer ) Alejandro Sanz - La Música No Se Toca ( Julio Reyes Copello & Alejandro Sanz , producers ; Alonso Arreola , Edgar Barrera , Sebastian De Peyrecave , Javier Garza , Kamilo Kratc , Lee Levin , Javier Limón , Julio Reyes Copello , Alejandro Sanz , Rafa Sardina , Samuel Torres , Juan Pablo Vega & Dan Warner , album recording engineers ; Sebastian Krys , album mixer ; Antonio Baglio , album mastering engineer ) Carlos Vives - Corazón Profundo ( Andrés Castro & Carlos Vives , album producers ; Edgar Barrera , Dudu Borges , Scott Canto , Andrés Castro , Francisco Castro , Loris Ceroni , Javier Garza , Andrés Landinez , Shafik Palis , Curt Schneider & Camilo Silva , album recording engineers ; Curt Schneider , album mixer ; Tom Coyne , album mastering engineer )"
2014,Paco de Lucía · produced by Paco de Lucía · engineered/mixed by Paco de Lucía & Bori Alarcón · mastered by Bori Alarcón,Canción Andaluza,"Marc Anthony - 3.0 ( Marc Anthony , Sergio George & Julio Reyes Copello , album producers ; Juan Mario Mayito Aracil & Julio Reyes Copello , album recording engineers ; Carlos Álvarez , album mixer ; Tom Coyne , album mastering engineer ) Rubén Blades - Tangos ( Carlos Franzetti , album producer ; Jan Holzer , Ariel Lavigna & Chris Sulit , album recording engineers ; Chris Sulit , album mixer ; Chris Sulit , album mastering engineer ) Calle 13 - Multi Viral ( Calle 13 , album producers ; John Blais , Olimpia Calderón , Ryan Gilligan , Phil Joly , Adolfo Martínez , Ramón Martínez , Kevin Mills , Rafa Sardina & Carlos Velázquez , album recording engineers ; Michael Brauer & Rich Costey , album mixers ; Joe Laporta , album mastering engineer ) Camila - Elypse ( Mario Domm , Pablo Hurtado , Stephane Lozac ' h , Ricky Luna & Oliver Visconti , album producers ; Gabriel Castañón , Mario Domm , Geoff Foster , Peter Mokran & Adrián Trujillo , album recording engineers ; Peter Mokran , album mixer ; Bernie Grundman , album mastering engineer ) Lila Downs , Niña Pastori , Soledad - Raíz ( Julio Jiménez Chaboli & Aneiro Taño , album producers ; Julio Jiménez Chaboli , Max Miglin , Aneiro Taño & Rodolfo Vázquez , album recording engineers ; Julio Jiménez Chaboli , Max Miglin , Aneiro Taño & Rodolfo Vázquez , album mixers ; Max Miglin , album mastering engineer ) Jorge Drexler - Bailar en la Cueva ( Eduardo Cabra , Carles Campi Campón , Jorge Drexler , Mario Galeano & Sebastián Merlín , album producers ; Carlos Barres , John Blais , Carles Campi Campón , Néstor Cifuentes , Leo Moreira , Héctor Quídea , José María Resillo & Simón Vélez , album recording engineers ; Carles Campón , album mixer ; Bori Alarcón , album mastering engineer ) Fonseca - Fonseca Sinfónico ( Fonseca , album producer ; Eduardo Bergallo , album recording engineer ; Eduardo Bergallo , album mixer ; Diego Guerrero , album mastering engineer ) Jarabe de Palo - Somos ( Micky Forteza-Rey & Jarabe De Palo , album producers ; José Luis Molero , Gerard Ripoll & Jordi Sole , album recording engineers ; Yves Roussel , album mastering engineer ) Carlos Vives - Más Corazón Profundo ( Mario Caldato Jr. , Andrés Castro , Rock Mafia & Carlos Vives , album producers ; Edgar Barrera , Mauricio Cano , Scott Canto , Andrés Castro , Francisco Kiko Castro , Efraín Junito Dávila , Guido Díaz , Javier Garza , Guianko Gómez , Carlos Huertas , Shafik Palis , Julio Reyes & Curt Schneider , album recording engineers ; Juan Mario Mayito Aracil , Luis Barrera Jr. , Javier Garza & Curt Schneider , album mixers ; Tom Coyne & David Kutch , album mastering engineers )"
2015,"Juan Luis Guerra 4.40 · produced by Juan Luis Guerra & Janina Rosado · engineered/mixed by Edgar Barrera , Rafael Lazzaro , Allan Leschhorn & Ronnie Torres · mastered by Adam Ayan",Todo Tiene Su Hora,"Pepe Aguilar - MTV Unplugged ( Emmanuel Del Real , album producer ; Gustavo Borner , Justin Moskevich , David Parra & Luis Roman , album recording engineers ; Gustavo Borner , album mixer ; Tom Baker , album mastering engineer ) Rubén Blades with Roberto Delgado & Orquesta - Son de Panamá ( Roberto Delgado , album producer ; Roberto Delgado , Pablo Governatori & Ignacio Nacho Molino , album recording engineers ; Roberto Delgado , Pablo Governatori & Ignacio Nacho Molino , album mixers ; Daniel Ovie , album mastering engineer ) Miguel Bosé - Amo ( Andrew Frampton , Andrés Levin , Filip Mitrovic & Brubaker XL , album producers ; Ray Aldaco , Héctor Castillo , Andrew Frampton , Pepo Sherman , Johnny Skalber & Brubaker Xl , album recording engineers ; Andy Bradfield , Héctor Castillo & Dan Frampton , album mixers ; Antonio Baglio , album mastering engineer ) Café Quijano - Orígenes : El Bolero Volumen 3 ( Kenny O'brien & Manuel Quijano , album producers ; Luis Villa , album recording engineer ; Luis Villa , album mixer ; Miguel Ángel González , album mastering engineer ) Natalia Jiménez - Creo En Mí ( Josh Cumbee , Josh Cumbee , Jayson Dezuzio , Scott Effman , Non Fiction , Toby Gad , Rob Kleiner , Motiff & Lukas Nathanson , album producers ; Julian Bohorquez , Efraín E-Flat González , Lee Levin , Juan Cristobal Losada , Alfonso Ordóñez & Dan Warner , album recording engineers ; Motiff & Jon Rezin , album mixers ; Tom Coyne , album mastering engineer ) Natalia Lafourcade - Hasta la Raíz ( Leonel García , Lafourcade and Cachorro López , album producers ; Andrés Borda , Eduardo Del Águila , Demián Nava , Alan Ortiz Grande , Alan Saucedo & Sebastián Schunt , album recording engineers ; Eduardo De El Águila & Cesar Sogbe , album mixers ; José Blanco , album mastering engineer ) Monsieur Periné - Caja De Música ( Eduardo Cabra , album producer ; John Blais , Eduardo Cabra , Dan Cherouny , Mauricio Garcia , Nicolás Ladron De Guevara , Stefano Pizzaia , Harold Wendel Sanders & Santiago Sarabia , album recording engineers ; John Blais & Fab Dupont , album mixers ; Diego Calviño & Pablo López Ruíz , album mastering engineers ) Alejandro Sanz - Sirope ( Sebastian Krys & Alejandro Sanz , album producers ; Armando Ávila , Sebastian Krys , Juan Carlos Miguel & Pepe Ortega , album recording engineers ; Sebastian Krys & Rafa Sardina , album mixers ; Tom Coyne , album mastering engineer ) María Toledo - ConSentido ( María Toledo , album producer ; Caco Refojo , album recording engineer ; Caco Refojo , album mixer ; Caco Refojo , album mastering engineer )"
2016,"Juan Gabriel · produced by Gustavo Farías · engineered/mixed by Pete Fuchs , Dan Moore , Erwin Ríos , Diego Farías , Gustavo Farías , Peter Fuchs , Dan Moore , Dave Rideau and Jean Smitt",Los Dúo 2,"Pablo Alborán - Tour Terral ( Bori Alarcón , album producer ; Alarcón and Roberto Rodríguez , album recording engineers ; Alarcón , Adrían Schinoff Noher and Carlos Vera , album mixers ; Alarcón , album mastering engineer ) Andrea Bocelli - Cinema ( Edición En Español ) ( David Foster , Humberto Gatica and Tony Renis , album producers ; Gatica , album recording engineer ; Gatica and Martin Nessi , album mixers ; Vladdo Meller , album mastering engineer ) Andrés Cepeda - Mil Ciudades ( Bernardo Ossa , Mauricio Pantoja , Julio Reyes Copello , Tommy Torres and Dan Warner , album producers ; Richard Bravo , Mauricio Cano , Reyes Copello , Fonseca , Diego García , Jan Holzner , Kamilo Kratc , Lee Levin , Carlos Fernando López , Ricardo López Lalinde , Dario Moscatelli , Martín Nessi , Camilo Ortega , Ossa , Pantoja , Stefano Pizzaia , Natalia Ramírez , Torres , Mauricio Vilar , Pete Wallace and Warner , album recording engineers ; Álvaro Alencar , Bob Clearmountain , Iker Gastaminza and Thom Russo , album mixers ; Antonio Baglio , Mike Couzzi and Ted Jensen , album mastering engineers ) Djavan - Vidas Pra Contar ( Djavan , album producer ; Marcelo Saboia , album recording engineer ; Saboia , album mixer ; Andre Días , album mastering engineer ) Fonseca - Conexión ( Julio Reyes Copello , album producer ; Rolando Alejandro , Juan Camilo Arboleda , Richard Bravo , Alex Casadiego , Juan Fernando Fonseca , Kamilo Kratc , Lee Levin , Carlos Fernando López , Ricardo López Lalinde , Natalia Ramírez , Reyes Copello and Gabriel Vallejo , album recording engineers ; Iker Gastaminaza , album mixer ; Tom Coyne , album mastering engineer ) Jesse & Joy - Un Besito Más ( Juan Luis Guerra , Jesse Huerta , Fraser T Smith , Martin Terefe and Tommy Torres , album producers ; Beatríz Artola , Dyre Gormsen , Rogelio Jiménez Osuna , Kristian Larsen , Allan Leschhorn , Andrés Saavedra , Torres , Adrián Trujillo , Dan Warner and Oskar Winberg , album recording engineers ; Eduardo De La Paz Canel and Craig Silvey , album mixers ; John Davis , album mastering engineer ) José Lugo & Guasábara Combo - ¿Donde Están ? ( Lugo , album producer ; Manuel Calero , JoseMa Lugo and Ronnie Torres , album recording engineers ; Torres , album mixer ; Torres , album mastering engineer ) Diego Torres - Buena Vida ( Rafa Arcaute and Julio Reyes Copello , album producers ; Rafa Arcaute , Luis Barrera Jr , Richard Bravo , Gustavo Celis , Javier Garza , Kamilo Kratc , Lee Levin , Carlos Fernando López , Ricardo López Lalinde , Reyes Copello , Esteban Varela and Dan Warner , album recording engineers ; Rafa Sardina , album mixer ; Antonio Baglio , album mastering engineer ) Julieta Venegas - Algo Sucede ( Cachorro López and Venegas , album producers ; Eduardo Chermont , Ernesto Garcia , Demián Nava and Sebastián Schon , album recording engineers ; Héctor Castillo , album mixer ; Greg Calbi , album mastering engineer )"
2017,"Rubén Blades with Roberto Delgado & Orquesta · produced by Roberto Delgado · engineered/mixed by Pablo Governatori , Ignacio Molino , and Daniel Ovie",Salsa Big Band,"Antonio Carmona - Obras Son Amores ( Carmona and Daniel García Diego , producers ; Carlos Martos and Curro Ureba , album recording engineers ; Martos , album mixer and album mastering engineer ) Vicente García - A La Mar ( Eduardo Cabra and Vicente García , album producers ; John Blais , Rafael Lázzaro Colón , García , Allan Leschhörn , Jorge Corredor Lodoño and José Víctor Olivier Sterling , album recording engineers ; Blais , Colón and Harold Wendell Sanders , album mixers ; Greg Calbi and Alex De Turk , album mastering engineers ) Nicky Jam - Fénix ( Banx & Ranx , Dwayne Chin-Quee , Johan Esteban Espinosa , Johnattan Gaviria , Yhoan Manuel Jiménez , Tarik Johnston , Cristhian Mena , Urbani Mota , Carlos Peralta , Pedro Reynoso , Jorge Luis Romero and Egbert Rosa , album producers ; La Industria Inc S.A.S and South Point Studios , album recording engineers ; Edgar González , Mena and Carlos Paucar , album mixers ; Tom Coyne , Mike Fuller and Esteban J. Piñero , album mastering engineers ) Juanes - Mis Planes Son Amarte ( Juanes , Alejandro Patiño and Alejandro Ramirez , album producers ; Josh Gudwin , album mixer ; Tom Coyne , album mastering engineer ) Mon Laferte - La Trenza ( Manú Jalil and Mon Laferte , album producers ; Eduardo Del Águila and Alán Ortiz , album recording engineers ; Eduardo Del Águila , album mixer ; Chalo González , album mastering engineer ) Natalia Lafourcade - Musas ( Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos , Vol . 1 ) ( Cheche Alara and Gustavo Guerrero , album producers ; Héctor Castillo , album recording engineer ; Noah Georgeson , album mixer ; Gavin Lurssen , album mastering engineer ) Residente - Residente ( Rafael Arcaute , Goran Bregovic , Francis Pérez , Residente and Trooko , album producers ; Arcaute , Beatriz Artola , Alex Berdz , Brandon Bost , Phil Joly , Hubert Kofi Anti , Ogi Radivojevic , Supa Saï and Carlos Velásquez , album recording engineers ; Tom Elmhirst , album mixer ; Ted Jensen , album mastering engineer ) Shakira - El Dorado ( The Arcade , Nasri Atweh , Black M. , Andrés Castro , Chan El Genio , Dwayne Supa Dups Chin-Quee , Dadju , Nicky Jam , Kevin Jiménez ADG , D'Lesly Dice Lora , Maluma , Luis Fernando Ochoa , Rayito For Los Tailors , Jean Rodríguez , Geoffrey Royce Rojas , Shakira , Dany Synthé , Carlos Vives and Saga WhiteBlack , album producers ; Luis Barrera Jr. , Rudy Bethancourt , Ray Charles Brown Jr. , Lincoln Castañeda , Andrés Castro , Gustavo Celis , Chan El Genio , Dave Clauss , Carlos Hernández Carbonell , Kevin Jiménez , Andre Nascimbeni , Redeyes , Jean Rodríguez and Saga WhiteBlack , album recording engineers ; Dave Clauss , Carlos Hernández Carbonell , Alfredo Matheus and Saga WhiteBlack , album mixers ; Adam Ayan , album mastering engineer ) Danay Suárez - Palabras Manuales ( Roberto Fonseca , Stephen Marley , Jason Matthews , Idan Raichel , Gilad Shmueli , Danay Suárez and Alain Vázquez , album producers ; Waldy Domínguez , Delio Ferrero Moreira , Carlos Hervia González , PT Najera , Idan Raichel , Chris Romero , Gennaro Schiano , Gilad Shmueli and Andrew Yeomanson , album recording engineers ; Yair Goren , Stephen Marley , Jason Matthews , Idan Raichel , Schiano , Shmueli , Suárez and Yeomanson , album mixers ; Michael Fuller , album mastering engineer )"
2018,"Luis Miguel Luis Miguel & David Reitzas , album producers ; David Reitzas & Jess Sutcliffe , album recording engineers ; David Reitzas , album mixer ; José Alfredo Jiménez , songwriter ; Eric Boulanger & David Reitzas , album mastering engineers",¡México Por Siempre !,"Pablo Alborán - Prometo ( Julio Reyes Copello , album producer ; Carlos Fernando López , Ricardo López Lalinde , Natalia Ramírez & Julio Reyes Copello , album recording engineers ; Javier Garza , Carlos Fernando López , Trevor Muzzy & Julio Reyes Copello , album mixers ; Pablo Alborán , songwriter ; Antonio Baglio , album mastering engineer ) J Balvin - Vibras ( [ [ Childsplay , Dj Chuckie , Marco Masís , Carlos E. Ortiz , Pardo , Alejandro Ramírez , Juan G. Rivera & Willy William , album producers ; Phil Greiss , Josh Gudwin , Alejandro Patiño & Juan G. Rivera , album mixers ; J Balvin , Jesús M. Nieves Cortes , Marco Masís & Alejandro Ramírez , songwriters ; Dave Kutch , album mastering engineer ) Chico Buarque - Caravanas ( Vinicius França & Luiz Claudio Ramos , album producers ; Lucas Ariel , Gabriel Pinheiro & Fernando Prado , album recording engineers ; Gabriel Pinheiro , album mixer ; Chico Buarque , songwriter ; Luiz Tornaghi , album mastering engineer ) Jorge Drexler - Salvavidas de Hielo ( Carles Campi Campón & Jorge Drexler , album producers ; Carles Campi Campón , Ernesto García & Pablo Martín Jones , album recording engineers ; Matías Cella , album mixer ; Jorge Drexler , songwriter ; Fred Kevorkian , album mastering engineer ) El David Aguilar - Siguiente ( David Bravou , Juan Cubas , Guillermo Durán , El David Aguilar , Juan García Álvarez , Pere George , Carlos González , Ulises Hadjis , Hernán Hecht , Alberto Hernández , Miguel Inzunza , Alejandro Jiménez , Demián Jiménez , Carlos Mier , Diego Mier , Herman Nunes , Luca Ortega , Alan Saucedo & Ignacio Sotelo , album producers ; David Bravou , Juan Cubas , Guillermo Durán , Juan García Álvarez , Carlos González , Ulises Hadjis , Hernán Hecht , Miguel Inzunza , Demián Jiménez , Diego Mier , Herman Nunes , Luca Ortega & Alan Saucedo , album recording engineers ; Ignacio Sotelo , album mixer ; El David Aguilar , songwriter ; Juan García Álvarez , album mastering engineer ) Kany García - Soy Yo ( Residente , Marcos Sánchez , Trooko & Afo Verde , album producers ; Larry Coll , José E. Díaz , Orlando Ferrer , Luca Germini , Iván Belvis Navarro , Marcos Sánchez & Carlos Velázquez , album recording engineers ; Beatriz Artola , album mixer ; Kany García , songwriter ; Eduardo Ramos , album mastering engineer ) Natalia Lafourcade - Musas : Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos , Vol . 2 ( Cheche Alara , Kiko Campos & Gustavo Guerrero , album producers ; Rubén López Arista , Daniel Bitrán Arizpe & Héctor Castillo , album recording engineers ; Rubén López Arista & Noah Georgeson , album mixers ; Natalia Lafourcade , songwriter ; Gavin Lurssen , album mastering engineer ) Monsieur Periné - Encanto Tropical ( Eduardo Cabra , Catalina García Barahona & Santiago Prieto Sarabia , album producers ; Eduardo Cabra , Uriel Dorfman , Santiago Prieto Sarabia & Alan Saucedo , album recording engineers ; Fab Dupont & Harold Sanders , album mixers ; Catalina García Bahona & Santiago Prieto Sarabia , songwriters ; Diego Calviño & Pablo López Ruíz , album mastering engineers ) Rozalén - Cuando El Río Suena ... ( Adrián García , Ismael Guijarro & Sebastián Schon , album producers ; Jordi Gil , Ismael Guijarro , Manu Pájaro , Santiago Quizhpe , José María Rosillo & Sebastián Schon , album recording engineers ; Felipe Guevara , José Maria Rosillo , Eduardo Ruíz , Sebastián Schon & Oscar Vinader , album mixers ; Rozalén , songwriter ; Juan Hidalgo & Mike Kalajian , album mastering engineers )"
2019,"Rosalía El Guincho and Rosalía , album producers ; El Guincho , album recording engineer ; Jaycen Joshua , album mixer ; Antón Álvarez Alfaro , El Guincho and Rosalía , songwriters ; Chris Athens , album mastering engineer",El Mal Querer,Paula Arenas - Visceral Rubén Blades - Paraíso Road Gang Andrés Calamaro - Cargar la Suerte Fonseca - Agustín Luis Fonsi - Vida Alejandro Sanz - # ElDisco Ximena Sariñana - ¿Dónde Bailarán las Niñas ? Tony Succar - Más de Mi Sebastián Yatra - Fantasía
