Year,Name,Organization,Action
1996-1998,Nancy Olivieri,Apotex,"Starting in 1996 , Olivieri was part of a group conducting a clinical trial in order to evaluate the use of a drug of Apotex , deferiprone , in treating persons with a blood disorder , thalassaemia . During the course of the trial , Olivieri became concerned about evidence that pointed to the toxicity of the study drug and to the drug being inefficacious . Olivieri informed both the research ethics board that was monitoring the study and Apotex , the drug maker . The research ethics board instructed Olivieri to inform participants about her concerns . Apotex responded by noting that Olivieri had signed a confidentiality agreement as part of the drug trial and that informing participants about her concerns , the validity of which Apotex disputed , would violate that confidentiality agreement . Apotex threatened to vigorously pursue all legal remedies against her if she disclosed her conclusions to patients . Olivieri disclosed her concerns to her patients and Apotex ended the portion of the study in which she was participating . In 1998 , the New England Journal of Medicine published her paper suggesting that deferiprone led to progressive hepatic fibrosis"
1997,Frederic Whitehurst,Federal Bureau of Investigation,"A chemist at the U.S. Federal Bureau of Investigation who was the FBI Laboratory 's foremost expert on explosives residue in the 1990s , and became the first modern-day FBI whistleblower . He reported a lack of scientific standards and serious flaws in the FBI Lab , including in the first World Trade Center bombing cases and the Oklahoma City bombing case . Whitehurst 's whistleblower disclosures triggered an overhaul of the FBI 's crime lab following a report by the U.S. Department of Justice Inspector General in 1997 . Dr. Whitehurst filed a federal lawsuit claiming whistleblower retaliation , and he reached a settlement with the FBI worth more than $ 1.16 million . Whitehurst now directs the FBI Oversight Project of the National Whistleblower Center"
1997,David Shayler,MI5,"Along with girlfriend Annie Machon , resigned from MI5 to expose alleged criminal acts by the UK Secret Services , including a failed assassination attempt on Muammar Gaddafi . Shayler also accused the Security Services of planting false stories in the press , substantiated in one example by a court"
1997,Christoph Meili,UBS,"A night guard at a Swiss bank , he discovered that his employer was destroying records of savings by Holocaust victims , which the bank was required to return to heirs of the victims . After the Swiss authorities sought to arrest Meili , he was given political asylum in the United States"
1997,Alan Parkinson,Australian Government,"Alan Parkinson is a mechanical and nuclear engineer who has written the 2007 book , Maralinga : Australia 's Nuclear Waste Cover-up , about the clean-up of the British atomic bomb test site at Maralinga in South Australia . In 1993 , Parkinson became the key person on the Maralinga clean-up project , representing the then federal Labor government . By 1997 , however , there was much cost-cutting involved which compromised the project , and personal differences about how the project should proceed , which led to the sacking of Parkinson by the new Howard government . The clean-up was totally unsatisfactory according to Parkinson and he exposed the situation through the Australian Broadcasting Corporation , provoking a strong rebuttal and personal abuse from the government"
1998,Shiv Chopra,Canadian government,A microbiologist and activist who was involved in one of the first major whistleblowing incidents in the Canadian public service
1998,Paul van Buitenen,European Commission,Accused European Commission members of corruption . ( See Resignation of the Santer Commission )
1998,Marc Hodler,International Olympic Committee,IOC member who blew the whistle on the Winter Olympic bid scandal for the 2002 Salt Lake City games
1998,Linda Tripp,Clinton Administration,"Former White House staff member who disclosed to the Office of Independent Counsel that Monica Lewinsky committed perjury and attempted to suborn perjury , and President Bill Clinton committed misconduct , by denying the Clinton-Lewinsky relationship in the Paula Jones federal civil rights suit . A victim of retaliation by the Clinton Administration , Tripp successfully sued the Department of Defense and the Justice Department for releasing information from her security file and employment file to the news media in violation of the Privacy Act of 1974 . In 2003 , Tripp settled with the federal government for over $ 595,000 . In addition , she received a retroactive promotion and retroactive pay for the years 1998 , 1999 , and 2000 , a pension and was cleared to work for the federal government again"
1999,Harry Markopolos,,"Early whistleblower of suspected securities fraud by Bernard Madoff , tipping off the United States Securities and Exchange Commission ( SEC ) repeatedly"
