,Landmark name,Date designated,Location,County,Description
11,USS Drum ( submarine ),"January 14 , 1986 ( # 86000086 )",Mobile 30°40′44″N 88°01′00″W / 30.678830496°N 88.0166312697°W / 30.678830496 ; -88.0166312697 ( USS Drum ( submarine ) ),Mobile,"Launched on May 12 , 1941 , this was the first of the Gato -class submarines completed before World War II . It represents what was the standard design for American fleet submarines at the beginning of that war . The USS Drum sank fifteen Japanese ships and earned twelve battle stars"
12,Episcopal Church of the Nativity,"June 21 , 1990 ( # 74000420 )",Huntsville 34°43′49″N 86°35′03″W / 34.730189°N 86.584050°W / 34.730189 ; -86.584050 ( Episcopal Church of the Nativity ),Madison,"This Gothic Revival church was built in 1859 , and is considered by the National Park Service as one of the most pristine examples of Ecclesiastical Gothic architecture in the South . It is also one of the least-altered structures designed by architect Frank Wills"
13,First Confederate Capitol,"December 19 , 1960 ( # 66000152 )",Montgomery 32°22′33″N 86°18′03″W / 32.3757427702°N 86.3009395655°W / 32.3757427702 ; -86.3009395655 ( First Confederate Capitol ),Montgomery,"Delegates from six seceding Southern states met here on February 4 , 1861 . On February 8 , they adopted a Constitution for the Provisional Government of the Confederate States of America . Jefferson Davis was inaugurated on the west portico on February 18 . The Congress of the Confederate States met here until May 22 , 1861 , when the capital moved to Richmond , Virginia"
14,Fort Mitchell Site,"June 21 , 1990 ( # 72000178 )",Fort Mitchell 32°21′07″N 85°01′18″W / 32.35194444444445°N 85.02166666666666°W / 32.35194444444445 ; -85.02166666666666 ( Fort Mitchell Site ),Russell,"Fort Mitchell represents three periods of interaction with Native Americans . The first period is the martial aspect of Manifest Destiny , when the Creek Indian Nation was defeated and forced to concede land . ; the second represents the Indian Factory ; the last concerns U.S. government attempts to honor treaty obligations"
15,Fort Morgan,"December 19 , 1960 ( # 66000146 )",Gasque 30°13′41″N 88°01′23″W / 30.228055555555553°N 88.02305555555556°W / 30.228055555555553 ; -88.02305555555556 ( Fort Morgan ),Baldwin,Fort Morgan was completed in 1834 and was used by Confederate forces during the Battle of Mobile Bay . This battle resulted in the Union Navy 's Admiral David Farragut taking Mobile Bay and sealing off the Port of Mobile to Confederate shipping
16,Fort Toulouse Site-Fort Jackson,"October 9 , 1960 ( # 66000148 )",Wetumpka 32°30′24″N 86°15′06″W / 32.506619°N 86.251569°W / 32.506619 ; -86.251569 ( Fort Toulouse Site-Fort Jackson ),Elmore,"Fort Toulouse served as the easternmost outpost of colonial French Louisiana . It was established in 1717 at the confluence of the Coosa and Tallapoosa rivers , and was abandoned in 1763 , after the Treaty of Paris . Andrew Jackson reestablished a fort here in 1814 following his defeat of the Creek Nation at the Battle of Horseshoe Bend"
17,Foster Auditorium,"April 5 , 2005 ( # 05000457 )",Tuscaloosa 33°12′28″N 87°32′38″W / 33.20777777777778°N 87.54388888888889°W / 33.20777777777778 ; -87.54388888888889 ( Foster Auditorium ),Tuscaloosa,"The Alabama National Guard , Federal marshals , and U.S. Attorney General Nicholas Katzenbach escorted Vivian Malone past Alabama governor George C. Wallace during his infamous Stand In The Schoolhouse Door in front of this building in 1963 . This was the first step in desegregating the University of Alabama and is seen as an important event in the Civil Rights Movement"
18,Gaineswood,"November 7 , 1973 ( # 72000167 )",Demopolis 32°30′31″N 87°50′07″W / 32.508726°N 87.835239°W / 32.508726 ; -87.835239 ( Gaineswood ),Marengo,"This Greek Revival mansion was designated a NHL because it is considered one of the most unusual examples of that architectural style in the United States . It was built over the course of eighteen years by amateur architect and planter Nathan Bryan Whitfield . It is one of the few Greek Revival homes that features the Doric , Ionic , and Corinthian orders of architecture"
19,Government Street Presbyterian Church,"October 5 , 1992 ( # 92001885 )",Mobile 30°41′21″N 88°02′39″W / 30.689153°N 88.044151°W / 30.689153 ; -88.044151 ( Government Street Presbyterian Church ),Mobile,"This church was built in 1836 and is one of the oldest and least-altered Greek Revival church buildings in the United States . The architectural design is by James Gallier , James Dakin , and Charles Dakin"
20,Ivy Green,"March 31 , 1992 ( # 70000101 )",Tuscumbia 34°44′22″N 87°42′24″W / 34.739444444444445°N 87.70666666666666°W / 34.739444444444445 ; -87.70666666666666 ( Ivy Green ),Colbert,"This site is where deaf and blind Helen Keller was born and learned to communicate , with the aid of her teacher and constant companion , Anne Sullivan"
