Rank,City,Population,County,Description
11,Dubuque,"58,276",Dubuque,"The city lies at the junction of three states : Iowa , Illinois , and Wisconsin , a region locally known as the Tri-State Area . It serves as the main commercial , industrial , educational , and cultural center for the area . Geographically , it is part of the Driftless Area , a portion of North America that escaped all three phases of the Wisconsinian Glaciation . It is one of the few large cities in Iowa with hills , and is home to a large tourist industry , driven by the city 's unique architecture , and river location . Also , it is home to five institutions of higher education , making it a center for culture and learning"
12,Urbandale,"43,592",Polk Dallas,"As of the 2000 census , the city population was 29,072 ; a special census taken by the city in 2005 counted 35,904 residents and the United States Census Bureau estimated that 38,369 residents lived there in 2008 . It is part of the Des Moines - West Des Moines Metropolitan Statistical Area"
13,Cedar Falls,"41,570",Black Hawk,"Cedar Falls is home to one of Iowa 's three public universities , the University of Northern Iowa . Cedar Falls was founded in 1845 by William Sturgis . It was originally named Sturgis Falls , for the first family who settled the site"
14,Marion,"39,400",Linn,"Marion is part of the Cedar Rapids Metropolitan Statistical Area . The town was named after Francis Marion , a hero of the Revolutionary War . The site was selected in 1839 to be the first county seat of the newly organized Linn County . After years of debate over moving the county seat to Cedar Rapids , it was put to a vote in 1919 . The vote was 9,960 in favor of moving the seat and 4,823 not in favor"
15,Bettendorf,"35,813",Scott,"Bettendorf is the fourth largest city in the Quad Cities . The first modern-day riverboat casinos in the United States were launched in Bettendorf on April 1 , 1991 by local businessman Bernard Goldstein . He went on to found the Isle of Capri Casinos . Goldstein and his family members also operate Alter Companies , which is a scrap metal , barge and towboat company operating on the river waterfront . The Quad Cities Waterfront Convention Center opened by the casino and hotel in 2009 . It is owned by the city and operated by the Isle of Capri"
16,Mason City,"27,399",Cerro Gordo,"Mason City is the county seat of Cerro Gordo County . Mason City has a very diverse employment base covering multiple sectors of the economy including Manufacturing , Health , Financial Services , Technology and Education , with no one sector or employer dominating the market"
17,Marshalltown,"27,280",Marshall,Marshalltown is the county seat of Marshall County
18,Clinton,"25,480",Clinton,Clinton is the county seat of Clinton County
19,Burlington,"25,022",Des Moines,"Burlington is the county seat of Des Moines County . It is the first capital of the Iowa Territory and also one the oldest towns in Iowa . Burlington is the home of Snake Alley , once labelled the crookedest alley in the world"
20,Ottumwa,"24,454",Wapello,"Ottumwa is located in the southeastern part of Iowa , and the city is split into northern and southern halves by the Des Moines River"
