Name,Year,Location,Style,Architect,Notes
Clifford Elliot House,1899,305 Eliot St,"Victorian , Edwardian",M.A . Edwards,"Built in 1899 for Clifford Elliot , a wholesale grocery executive , this turn-of-the-century house exemplifies the transition from the Victorian design to the Edwardian style of architecture"
First Presbyterian Church,1889,2930 Woodward Ave,Richardsonian Romanesque,George D. Mason,"George D. Mason modeled the First Presbyterian Church after Henry Hobson Richardson 's Trinity Church in Boston . When Woodward was widened in 1936 , the elaborately-carved entrance porch was moved from the Woodward façade to the Edmund Place side . The church is listed on the National Register of Historic Places"
John P. Fiske House,1876,261 Edmund Pl,"Second Empire , French Renaissance Revival , Victorian",,"John P. Fiske was a Detroit merchant of china and crockery . The house , located within the Woodward East Historic District , was designated a Michigan State Historic Site on August 18 , 1988"
Ransom Gillis House,1876,205 Alfred St. at John R,Venetian Gothic,Henry T. Brush & George D. Mason,"This building has been heavily documented by John Kossik and photographed by documentarian Camilo José Vergara . The house , built between 1876 and 1878 for Ransom Gillis , a wholesale dry goods merchant , is within the Woodward East Historic District"
Bernard Ginsburg House,1898,236 Adelaide St,Tudor Revival,George W. Nettleton & Albert Kahn,"Bernard Ginsburg was an important figure in philanthropy , civic service , and the Jewish community in Detroit during the late 19th and early 20th century . He commissioned architect Albert Kahn to design this house , one of Kahn 's earliest works . Kahn went on to become well known in industrial and commercial architecture ; the Ginsburg house and its English Renaissance style exhibited is typical of Kahn 's early work . The house is listed on the National Register of Historic Places"
John Harvey House,1887,97 Winder St,Second Empire,John V. Smith,"John Harvey was a pharmacist and philanthropist . The house contains 11,000 square feet ( 1,000 m ) , eight marble fireplaces , and three-story staircase . Developers purchased the John Harvey House in 1986 , renovated the structure , and , in 2005 , opened it as the Inn at 97 Winder , a bed and breakfast . The house is listed on the National Register of Historic Places"
Hudson-Evans House,1874,79 Alfred St,"Second Empire , French Renaissance Revival , Italianate",Unknown,"Also known as the Joseph Lothian Hudson House or the Grace Whitney Evans House . Built in 1874 for shipowner Philo Wright , the house was a gift from David Whitney Jr. to his daughter Grace upon her marriage to John Evans in 1882 . It later became the Joseph L. Hudson family residence . Listed on the National Register of Historic Places"
Albert Kahn House,1906,208 Mack Ave,English Renaissance,Albert Kahn,"In 1906 , architect Albert Kahn built a home for his personal use . He lived in this mansion fronting Mack Avenue from 1906 until his death in 1942 ; the structure was later obtained by the Detroit Urban League , which still uses it today . The house is listed on the National Register of Historic Places"
George Ladve House,1882,269 Edmund Pl,Eastlake Victorian,,"Originally owned by George Ladve , 269 Edmund Pl. , an Eastlake Victorian style mansion built in 1882 and restored in 2008 , contains 7,400 sq ft ( 690 m ) . Ladve had owned a carpet and upholstery company . In the late 1890s , the Frohlich family added a music room . Edward P. Frohlich was among the original philanthropists to the Detroit Symphony Orchestra . The house is within the Woodward East Historic District"
Lucien S. Moore House,c. 1885,104 Edmund Pl,"French Renaissance Revival , Gothic Revival",Unknown,"Originally owned by lumber baron Lucien S. Moore , 104 Edmund Place , built around 1885 in a French Renaissance Gothic Revival style and restored in 2006 , has 7,000 sq ft ( 650 m ) . The Lucien Moore House restoration was featured December 27 , 2005 by HGTV 's restore America Initiative in partnership with the National Trust for Historic Preservation . It may also be known as the Moorie Town House or The Edmund"
