,Landmark name,Date designated,Location,County,Description
11,Etowah Mounds,"July 19 , 1964 ( # 66000272 )",Cartersville 34°07′30″N 84°48′28″W / 34.125°N 84.80778°W / 34.125 ; -84.80778 ( Etowah Mounds ),Bartow,Three main mounds at the site ; three lesser known mounds ; inhabited from about 1000-1550 A.D. by Native Americans of the Mississippian culture
12,Fort James Jackson,"February 16 , 2000 ( # 70000200 )",Savannah 32°04′55″N 81°02′10″W / 32.0819°N 81.0361°W / 32.0819 ; -81.0361 ( Fort James Jackson ),Chatham,Built in the period 1808-1812 ; defended Savannah and its harbor ; used by the Confederacy ; withstood a minor Union attack in 1862
13,Fox Theatre,"May 11 , 1976 ( # 74002230 )",Atlanta 33°46′22″N 84°23′06″W / 33.77264°N 84.38501°W / 33.77264 ; -84.38501 ( Fox Theatre ),Fulton,Grand movie palace ; built in the 1920s ; Moorish design
14,Governor 's Mansion,"November 7 , 1973 ( # 70000194 )",Milledgeville 33°04′48″N 83°13′55″W / 33.079871°N 83.231944°W / 33.079871 ; -83.231944 ( Governor 's Mansion ),Baldwin,Executive Mansion from 1838-1868
15,Henry W. Grady House,"May 11 , 1976 ( # 76000613 )",Athens 33°57′42″N 83°23′18″W / 33.96167°N 83.38827°W / 33.96167 ; -83.38827 ( Henry W. Grady House ),Clarke,"Greek Revival house ; purchased by Henry W. Grady in 1863 , editor of the Atlanta Constitution"
16,Green-Meldrim House,"May 11 , 1976 ( # 74000664 )",Savannah 32°04′26″N 81°05′41″W / 32.073889°N 81.094722°W / 32.073889 ; -81.094722 ( Green-Meldrim House ),Chatham,Designed and built between 1853 and 1861 ; Gothic Revival style ; cast-iron porch and fence
17,Joel Chandler Harris House,"December 19 , 1962 ( # 66000281 )",Atlanta 33°44′16″N 84°25′20″W / 33.73764°N 84.42219°W / 33.73764 ; -84.42219 ( Joel Chandler Harris House ),Fulton,Home of Joel Chandler Harris from 1881-1908 ; editor and columnist of the Atlanta Constitution newspaper ; most known as author of the Uncle Remus tales
18,Hay House,"November 7 , 1973 ( # 71000259 )",Macon 32°50′25″N 83°38′01″W / 32.84034°N 83.63361°W / 32.84034 ; -83.63361 ( Hay House ),Bibb,"Built from 1855 to in 1859 ; Italian Renaissance Revival style ; 18,000 square feet ( 1,700 m ) ; twenty-four rooms ; four levels ; crowned by a cupola"
19,Herndon Home,"February 16 , 2000 ( # 00000261 )",Atlanta 33°45′21″N 84°24′25″W / 33.75581°N 84.40686°W / 33.75581 ; -84.40686 ( Herndon Home ),Fulton,"Home of Alonzo Franklin Herndon , founder of the Atlanta Life Insurance Company"
20,Historic Augusta Canal and Industrial District,"December 22 , 1977 ( # 71000285 )",Augusta 33°30′08″N 81°59′57″W / 33.5022°N 81.99917°W / 33.5022 ; -81.99917 ( Historic Augusta Canal and Industrial District ),Richmond,"Completed in 1847 ; harnessed the power of the fall line of the Savannah River for mills ; provided drinking water for Augusta , Georgia"
