Name,Location,Date,Notes,Grade
Dissenters ' Chapel,"Kensal Green Cemetery , London 51°31′37″N 0°12′57″W / 51.5269°N 0.2159°W / 51.5269 ; -0.2159 ( Dissenters ' Chapel , Kensal Green Cemetery )",1832,"The first purpose-built Nonconformist chapel to be built in a public cemetery , its condition had deteriorated so much that its wings were demolished in the 1970s . Later that decade , the chapel underwent a major restoration , including rebuilding the wings , and restoring the original painting scheme",II*
Thorndon Park Chapel,"Thorndon Park , Essex 51°35′55″N 0°19′48″E / 51.5987°N 0.3301°E / 51.5987 ; 0.3301 ( Thorndon Park Chapel )",1850 c. 1850,"This was built as the private Roman Catholic chantry chapel and mausoleum for the Petre family in the grounds of Thorndon Hall . It was designed by William Wardell , and is in Decorated style . The interior has an elaborately decorated roof , including depictions of angels , and a richly carved reredos",II*
Wainsgate Baptist Church,"Hebden Bridge , West Yorkshire 53°45′20″N 2°00′15″W / 53.7555°N 2.0041°W / 53.7555 ; -2.0041 ( Wainsgate Baptist Church )",1859-60,"The chapel stands in an elevated position overlooking Hebden Bridge . Attached to the rear of the chapel is the former manse , converted into a school in 1890 . The chapel closed in 2001 , and is now a venue for concerts and other events",II*
Todmorden Unitarian Church,"Todmorden , West Yorkshire 53°42′40″N 2°05′56″W / 53.7111°N 2.0990°W / 53.7111 ; -2.0990 ( Todmorden Unitarian Church )",1865-69,"The church was built by the Fielden family , local mill owners , and it is constructed using the best quality materials . It was designed by John Gibson in Gothic style with a large spire 196 feet ( 60 m ) high . Following a £1 million programme of repairs , which included restoration of the surrounding landscape and burial ground , it is now used for occasional services , weddings and other events",I
Westgate Methodist Chapel,"Bishop Auckland , County Durham 54°44′14″N 2°08′54″W / 54.7372°N 2.1482°W / 54.7372 ; -2.1482 ( Westgate Methodist Chapel )",1871,"Built for the Primitive Methodists , the chapel closed in 2007 . It retains its Victorian layout , complete with the original pews , gallery , windows , a magnificent organ , and much detailed decoration",II*
Umberslade Baptist Church,"Hockley Heath , West Midlands 52°20′48″N 1°47′09″W / 52.3467°N 1.7859°W / 52.3467 ; -1.7859 ( Umberslade Baptist Chapel )",1877,"George Ingall designed the church for the Baptist George Frederick Muntz , junior , of Umberslade Hall . It is constructed in blue lias stone in Decorated style with a spire , and has much elaborate detail . Repairs costing about £500,000 were completed in 2008",II
Penrose Methodist Chapel,"St Ervan , Cornwall 50°29′53″N 4°59′50″W / 50.4980°N 4.9971°W / 50.4980 ; -4.9971 ( Penrose Methodist Chapel )",1861,"The chapel 's plan is a simple rectangle with a single storey . Its interior retains its original layout , with box pews , and benches in the area once occupied by the musicians and choir",II*
Longworth Roman Catholic Chapel,"Bartestree , Herefordshire 52°03′43″N 2°37′51″W / 52.0620°N 2.6308°W / 52.0620 ; -2.6308 ( Longworth RC Chapel )",1869-70,"Originally the medieval chapel to the manor house at Old Longworth , it was used for agricultural purposes after the Reformation . The chapel was restored in 1851 , then moved to a site adjacent to convent at Bartestree in 1869-70 . It is probable that the move and rebuilding were supervised by E. W. Pugin",II*
Wallasey Memorial Unitarian Church,"Wallasey , Merseyside 53°25′18″N 3°02′28″W / 53.4216°N 3.0410°W / 53.4216 ; -3.0410 ( Wallasey Memorial Unitarian Church )",1899,"Designed by Edmund Waring and Edmund Rathbone in Arts and Crafts style , the church is constructed in brick with stone dressings . Many of the internal fittings were designed by Art Nouveau craftsmen from the Bromsgrove Guild",II*
Shrine of Our Lady of Lourdes,"Blackpool , Lancashire 53°49′22″N 3°00′59″W / 53.8229°N 3.0165°W / 53.8229 ; -3.0165 ( Shrine of Our Lady of Lourdes )",1955-57,The shrine was built as a thanksgiving for the relatively small amount of damage sustained by the Roman Catholic Diocese of Lancaster during the Second World War . It was designed by Francis Xavier Verlarde and is constructed in Portland stone with copper cladding to its roof and flèche . As of 2010 the shrine is being converted into a community centre,II*
