Name,Region,Category,Year submitted,Description
Archaeological Site of Harappa,"Punjab , Pakistan","Cultural ; ii , iv",2004,"Harappa is an archaeological site which is site of the ancient city contains the ruins of a Bronze Age fortified city , which was part of the Cemetery H culture and the Indus Valley Civilization , centered in Sindh and Punjab"
Archaeological Site of Ranigat,"Khyber Pakhtunkhwa , Pakistan","Cultural ; ii , iv",2004,"The archaeological site of Ranigat remains of the region 's largest Buddhist monastic complex reside . Structures on the site include stupas , monasteries , shrines , drainage networks , and other buildings . Ranigat is a 2500-year-old Buddhist archaeological site belonging to the Gandhara civilization and is a good evidence of the Buddhist past of the area"
Shahbazgarhi Rock Edicts,"Khyber Pakhtunkhwa , Pakistan","Cultural ; i , ii , vi",2004,"Shahbazgarhi is the location of ancient rock inscriptions that are cut into two large rock boulders and written in the Kharosthi script . They retain immense historical importance , as they appear to be the first examples of writing in South Asia . They were constructed during the 3rd Century BC , during the reign of Ashoka , the famous Mauryan emperor"
Mansehra Rock Edicts,"Khyber Pakhtunkhwa , Pakistan","Cultural ; i , ii , vi",2004,"Mansehra Rock Edicts are fourteen edicts of the Mauryan emperor Ashoka , inscribed on rocks in Mansehra . The edicts are cut into three boulders and date back to 3rd century BC and they are written in the ancient Indic script of Gandhara culture , Kharosthi . The edicts mention aspects of Ashokas dharma"
Baltit Fort,"Gilgit Baltistan , Pakistan","Cultural ; i , ii",2004,"Balti Fort is an ancient fort in the Hunza valley in Gilgit-Baltistan , founded in the 1st CE . The fort dates back to 700 years ago , with rebuilds and alterations over the centuries . In the 16th century the local prince married a princess from Baltistan who brought master Balti craftsmen to renovate the building as part of her dowry"
"Tombs of Bibi Jawindi , Baha'al-Halim and Ustead and the Tomb and Mosque of Jalaluddin Bukhari","Punjab , Pakistan","Cultural ; ii , iv , vi",2004,The oldest of the five monuments are the 14th century AD tomb and mosque of the Central Asian Sufi Jalaluddin Bukhari located in Uch Sharif
Tomb of Shah Rukn-e-Alam,"Punjab , Pakistan","Cultural ; iii , iv , vi","1993 , 2004",Tomb of Shah Rukn-e-Alam is the mausoleum of the Sufi saint Sheikh Rukn-ud-Din Abul Fateh . The tomb was built between 1320 and 1324 CE in the pre-Mughal architectural style
Port of Banbhore,"Sindh , Pakistan","Cultural ; iv , v , vi",2004,"Port of Banbhore is an ancient city dating to the 1st century BC , dates back to the Scytho-Parthian era and was later controlled by Muslims from the 8th to the 13th century , after which it was abandoned . Remains of one of the earliest known mosques in the region dating back to 727 AD are still preserved in the city"
Derawar and the Desert Forts of Cholistan,"Punjab , Pakistan","Cultural ; iii , v",2016,"Derawar fort was built in the 9th century by Rai Jajja Bhatti , a Rajput ruler of Bhatti clan . Other forts include ( roughly from north to south ) Meergarh , Jaangarh , Marotgarh , Maujgarh , Dingarh , Khangarh , Khairgarh , Bijnotgarh and Islamgarh"
Hingol Cultural Landscape,"Balochistan , Pakistan","Cultural ; iii , vi",2016,Hinglaj Mata Mandar is an ancient Hindu temple located in Hingol National Park
