Title,Director,Country,Genre,Cast,Notes
Liquid Sky,Slava Tsukerman,United States,"Comedy , sci-fi","Anne Carlisle , Paula E. Sheppard , Susan Doukas , Otto von Wernherr , Bob Brady , Elaine C. Grove , Stanley Knap , Jack Adalist , Lloyd Ziff , Harry Lum , Roy MacArthur , Sara Carlisle , Nina V. Kerova , Alan Preston and Christine Hatfull",
Making Love,Arthur Hiller,United States,Drama,"Michael Ontkean , Harry Hamlin , Kate Jackson , Wendy Hiller , Arthur Hill and Nancy Olson",
Partners,James Burrows,United States,Comedy,"Ryan O'Neal , John Hurt , Kenneth McMillan , Robyn Douglass , Jay Robinson , Denise Galik , Joseph R. Sicari , Michael McGuire , Rick Jason , James Remar , Jennifer Ashley , Darrell Larson , Tony March , Seamon Glass and Steven Reisch",
Personal Best,Robert Towne,United States,Drama,"Mariel Hemingway , Scott Glenn , Patrice Donnelly and Kenny Moore",
Querelle,Rainer Werner Fassbinder,West Germany France,Drama,"Brad Davis , Franco Nero , Jeanne Moreau , Laurent Malet , Hanno Pöschl , Günther Kaufmann , Burkhard Driest , Roger Fritz , Dieter Schidor , Natja Brunckhorst , Werner Asam , Axel Bauer , Neil Bell , Robert van Ackeren , Wolf Gremm and Frank Ripploh",Based on the novel Querelle of Brest by Jean Genet
Señora de nadie,María Luisa Bemberg,Argentina,Drama,"Luisina Brando , Rodolfo Ranni , Julio Chávez , Gabriela Acher , Susú Pecoraro , China Zorrilla , Berugo Carambula , Gonzalo Palmes , Damián Urquino , María Ibarreta ( as Mariángeles ) , Guillermo Rico , Villanueva Cosse , João Ádeles , Lidia Catalano and Pino Dangelo",a.k.a . Nobody 's Wife
The Trout,Joseph Losey,France,Drama,"Isabelle Huppert , Jean-Pierre Cassel , Jeanne Moreau , Daniel Olbrychski , Jacques Spiesser , Isao Yamagata , Jean-Paul Roussillon , Roland Bertin , Lisette Malidor , Craig Stevens , Ruggero Raimondi , Alexis Smith , Lucas Belvaux , Pierre Forget , Ippo Fujikawa , Yûko Kada , Anne François , Pascal Morand and Frédérique Briel","Co-written by Roger Vailland , based on his novel"
Tootsie,Sydney Pollack,United States,Comedy,"Dustin Hoffman , Jessica Lange , Teri Garr , Dabney Coleman , Bill Murray , Charles Durning , Sydney Pollack , George Gaynes , Geena Davis , Doris Belack , Lynne Thigpen , Estelle Getty , Willy Switkes and Tobin Bell",
Victor/Victoria,Blake Edwards,United Kingdom United States,"Romance , comedy , musical","Julie Andrews , James Garner , Robert Preston , Lesley Ann Warren , Alex Karras , John Rhys-Davies , Graham Stark , Peter Arne , Malcolm Jamieson , Sherloque Tanney , Ina Skriver , Michael Robbins , Maria Charles , Glen Murphy , Geoffrey Beevers , Norman Alden and Jay Benedict",Remake of the 1933 film Victor and Victoria
The World According to Garp,George Roy Hill,United States,"Romance , comedy , drama","Robin Williams , James J.B. McCall , Mary Beth Hurt , Glenn Close , John Lithgow , Hume Cronyn , Jessica Tandy , Swoosie Kurtz , Peter Michael Goetz , Mark Soper , Warren Berlinger , Brandon Maggart , Amanda Plummer , Jenny Wright and Brenda Currin",Based on the novel of the same name by John Irving
