Year of issue,Album details,Recording date ( s ),Record label
1989,"Horowitz Plays Scriabin Sonatas : No . 3 in F-sharp minor , Op . 23 / No . 5 , Op . 53 Preludes : Op . 11 , Nos . 1 , 3 , 9 , 10 , 13 , 14 , 16 / Op . 13 , No . 6 / Op . 15 , No . 2 / Op . 16 , Nos . 1 , 4 / Op . 27 , No . 1 / Op . 48 , No . 3 / Op . 51 , No . 2 / Op . 59 , No . 2 / Op . 67 , No . 1 Etudes : Op . 8 , Nos . 7 , 12 / Op . 42 , No . 5",1953-1982,RCA Gold Seal
1989,"Horowitz Plays Schumann Sonata in F minor , Op . 14 ( Concerto without Orchestra ) / Humoreske , Op . 20 / Fantasiestücke , Op . 111 / Nachtstücke , Op . 23 , Nos . 3 & 4",1976-1980,RCA Gold Seal
1989,"Horowitz In Concert 1967-1968 Scarlatti : Sonata in F-sharp major , K. 319 / Sonata in G major , K. 260 Haydn : Sonata No . 48 in C major Beethoven : Sonata in A major , Op . 101 Liszt : Scherzo and March , S. 177 Mendelssohn : Etude in A minor , Op . 104b , No . 3",1967-1968,CBS Masterworks
1989,"Mozart : Piano Sonatas Piano Sonata in B-flat major , K. 281 / Piano Sonata in C major , K. 330 / Piano Sonata in B-flat major , K. 333 / Adagio in B minor , K. 540 / Rondo in D major , K. 485",1980-1988,Deutsche Grammophon
1990,"Horowitz Plays Brahms & Beethoven Scarlatti : Sonata in E major , K. 380 Bach - Busoni : Chorale Prelude Nun komm ' der Heiden Heiland - Come , Redeemer Haydn : Sonata in E-flat major , Hob . XVI : 52 Beethoven : Moonlight Sonata Brahms : Violin Sonata , Op . 108 ( Nathan Milstein , Violin ) Schumann : Träumerei",1946-1951,RCA Gold Seal
1990,"Horowitz Plays Prokofiev , Barber & Kabalevsky Sonatas Prokofiev : Sonata No . 7 in B-flat major , Op . 83 / Toccata , Op . 11 Barber : Sonata , Op . 26 Kabalevsky : Sonata No . 3 in F major , Op . 46 Fauré : Nocturne in B minor , Op . 119 Poulenc : Presto in B-flat major , FP 70",1945-1977,RCA Gold Seal
1990,"Horowitz Plays Beethoven Sonatas Sonata in F minor , Op . 57 Appassionata / Sonata in C-sharp minor , Op . 27 , No . 2 Moonlight / Sonata in C major , Op . 53 Waldstein",1956-1959,RCA Gold Seal
1990,"Horowitz Plays Tchaikovsky : Concerto No . 1 and Beethoven : Concerto No . 5 Emperor Tchaikovsky : Piano Concerto in B-flat minor , Op . 23 ( NBC Symphony Orchestra / Arturo Toscanini , Conductor ) Beethoven : Piano Concerto in E-flat major , Op . 73 Emperor ( RCA Victor Symphony Orchestra / Fritz Reiner , Conductor )","1943 , 1951",RCA Gold Seal
1990,"Horowitz - The Last Recording Haydn : Sonata No . 49 in E-flat major Chopin : Mazurka in C minor , Op . 56 , No . 3 / Nocturne E-flat major , Op . 55 , No . 2 / Fantasy-Impromptu in C-sharp minor , Op . 66 / Etude in A-flat major , Op . 25 , No . 1 / Nocturne in B major , Op . 62 , No . 1 Liszt : Weinen , Klagen , Sorgen , Zagen , prelude ( after J. S. Bach ) Wagner - Liszt : Isolde 's Liebestod","October & November , 1989",Sony Classical
1990,"Horowitz Plays Chopin , Vol . 1 Polonaise-Fantasie , Op . 61 / Ballade in G minor , Op . 23 / Barcarolle , Op . 50 / Etude in C-sharp minor , Op . 25 , No . 7 / Etude in G-flat major , Op . 10 , No . 5 / Ballade in F minor , Op . 52 / Waltz in A-flat major , Op . 69 , No . 1 / Andante Spianato and Grande Polonaise in E-flat major , Op . 22",1945-1982,RCA Gold Seal
